,Date&Time,Hourly CO (mg/m3)
0,1/1/2019 0:00,0.68
1,1/1/2019 1:00,0.66
2,1/1/2019 2:00,0.78
3,1/1/2019 3:00,0.53
4,1/1/2019 4:00,0.79
5,1/1/2019 5:00,0.49
6,1/1/2019 6:00,0.51
7,1/1/2019 7:00,0.72
8,1/1/2019 8:00,0.64
9,1/1/2019 9:00,0.42
10,1/1/2019 10:00,0.62
11,1/1/2019 11:00,0.53
12,1/1/2019 12:00,0.63
13,1/1/2019 13:00,0.41
14,1/1/2019 14:00,0.43
15,1/1/2019 15:00,0.64
16,1/1/2019 16:00,0.48
17,1/1/2019 17:00,0.34
18,1/1/2019 18:00,0.54
19,1/1/2019 19:00,0.45
20,1/1/2019 20:00,0.63
21,1/1/2019 21:00,0.49
22,1/1/2019 22:00,0.67
23,1/1/2019 23:00,0.8
24,2/1/2019 0:00,0.72
25,2/1/2019 1:00,0.58
26,2/1/2019 2:00,0.86
27,2/1/2019 3:00,0.69
28,2/1/2019 4:00,0.87
29,2/1/2019 5:00,0.65
30,2/1/2019 6:00,0.67
31,2/1/2019 7:00,0.8
32,2/1/2019 8:00,0.72
33,2/1/2019 9:00,0.5
34,2/1/2019 10:00,0.86
35,2/1/2019 11:00,0.53
36,2/1/2019 12:00,0.71
37,2/1/2019 13:00,0.57
38,2/1/2019 14:00,0.51
39,2/1/2019 15:00,0.8
40,2/1/2019 16:00,0.64
41,2/1/2019 17:00,0.34
42,2/1/2019 18:00,0.78
43,2/1/2019 19:00,0.45
44,2/1/2019 20:00,0.79
45,2/1/2019 21:00,0.73
46,2/1/2019 22:00,0.67
47,2/1/2019 23:00,0.88
48,3/1/2019 0:00,0.72
49,3/1/2019 1:00,0.42
50,3/1/2019 2:00,0.86
51,3/1/2019 3:00,0.53
52,3/1/2019 4:00,0.79
53,3/1/2019 5:00,0.65
54,3/1/2019 6:00,0.67
55,3/1/2019 7:00,0.88
56,3/1/2019 8:00,0.8
57,3/1/2019 9:00,0.5
58,3/1/2019 10:00,0.86
59,3/1/2019 11:00,0.61
60,3/1/2019 12:00,0.87
61,3/1/2019 13:00,0.73
62,3/1/2019 14:00,0.75
63,3/1/2019 15:00,0.88
64,3/1/2019 16:00,0.72
65,3/1/2019 17:00,0.34
66,3/1/2019 18:00,0.78
67,3/1/2019 19:00,0.45
68,3/1/2019 20:00,0.79
69,3/1/2019 21:00,0.73
70,3/1/2019 22:00,0.67
71,3/1/2019 23:00,0.8
72,4/1/2019 0:00,0.64
73,4/1/2019 1:00,0.26
74,4/1/2019 2:00,0.78
75,4/1/2019 3:00,0.45
76,4/1/2019 4:00,0.71
77,4/1/2019 5:00,0.65
78,4/1/2019 6:00,0.59
79,4/1/2019 7:00,0.8
80,4/1/2019 8:00,0.72
81,4/1/2019 9:00,0.34
82,4/1/2019 10:00,0.78
83,4/1/2019 11:00,0.45
84,4/1/2019 12:00,0.71
85,4/1/2019 13:00,0.57
86,4/1/2019 14:00,0.59
87,4/1/2019 15:00,0.72
88,4/1/2019 16:00,0.56
89,4/1/2019 17:00,0.18
90,4/1/2019 18:00,0.62
91,4/1/2019 19:00,0.45
92,4/1/2019 20:00,0.63
93,4/1/2019 21:00,0.65
94,4/1/2019 22:00,0.67
95,4/1/2019 23:00,0.8
96,5/1/2019 0:00,0.8
97,5/1/2019 1:00,0.42
98,5/1/2019 2:00,0.86
99,5/1/2019 3:00,0.77
100,5/1/2019 4:00,0.87
101,5/1/2019 5:00,0.89
102,5/1/2019 6:00,0.91
103,5/1/2019 7:00,1.04
104,5/1/2019 8:00,0.96
105,5/1/2019 9:00,0.74
106,5/1/2019 10:00,1.02
107,5/1/2019 11:00,0.53
108,5/1/2019 12:00,0.79
109,5/1/2019 13:00,0.65
110,5/1/2019 14:00,0.67
111,5/1/2019 15:00,0.72
112,5/1/2019 16:00,0.64
113,5/1/2019 17:00,0.34
114,5/1/2019 18:00,0.78
115,5/1/2019 19:00,0.45
116,5/1/2019 20:00,0.79
117,5/1/2019 21:00,0.57
118,5/1/2019 22:00,0.67
119,5/1/2019 23:00,0.72
120,6/1/2019 0:00,0.64
121,6/1/2019 1:00,0.26
122,6/1/2019 2:00,0.7
123,6/1/2019 3:00,0.45
124,6/1/2019 4:00,0.63
125,6/1/2019 5:00,0.49
126,6/1/2019 6:00,0.75
127,6/1/2019 7:00,0.64
128,6/1/2019 8:00,0.64
129,6/1/2019 9:00,0.26
130,6/1/2019 10:00,0.7
131,6/1/2019 11:00,0.45
132,6/1/2019 12:00,0.63
133,6/1/2019 13:00,0.41
134,6/1/2019 14:00,0.67
135,6/1/2019 15:00,0.56
136,6/1/2019 16:00,0.56
137,6/1/2019 17:00,0.18
138,6/1/2019 18:00,0.54
139,6/1/2019 19:00,0.37
140,6/1/2019 20:00,0.63
141,6/1/2019 21:00,0.49
142,6/1/2019 22:00,0.67
143,6/1/2019 23:00,0.48
144,7/1/2019 0:00,0.56
145,7/1/2019 1:00,0.26
146,7/1/2019 2:00,0.62
147,7/1/2019 3:00,0.37
148,7/1/2019 4:00,0.71
149,7/1/2019 5:00,0.41
150,7/1/2019 6:00,0.59
151,7/1/2019 7:00,0.48
152,7/1/2019 8:00,0.48
153,7/1/2019 9:00,0.34
154,7/1/2019 10:00,0.54
155,7/1/2019 11:00,0.37
156,7/1/2019 12:00,0.63
157,7/1/2019 13:00,0.41
158,7/1/2019 14:00,0.59
159,7/1/2019 15:00,0.48
160,7/1/2019 16:00,0.4
161,7/1/2019 17:00,0.18
162,7/1/2019 18:00,0.46
163,7/1/2019 19:00,0.45
164,7/1/2019 20:00,0.63
165,7/1/2019 21:00,0.41
166,7/1/2019 22:00,0.67
167,7/1/2019 23:00,0.56
168,8/1/2019 0:00,0.56
169,8/1/2019 1:00,0.34
170,8/1/2019 2:00,0.54
171,8/1/2019 3:00,0.45
172,8/1/2019 4:00,0.63
173,8/1/2019 5:00,0.41
174,8/1/2019 6:00,0.67
175,8/1/2019 7:00,0.56
176,8/1/2019 8:00,0.64
177,8/1/2019 9:00,0.42
178,8/1/2019 10:00,0.54
179,8/1/2019 11:00,0.53
180,8/1/2019 12:00,0.71
181,8/1/2019 13:00,0.41
182,8/1/2019 14:00,0.67
183,8/1/2019 15:00,0.64
184,8/1/2019 16:00,0.56
185,8/1/2019 17:00,0.34
186,8/1/2019 18:00,0.54
187,8/1/2019 19:00,0.53
188,8/1/2019 20:00,0.87
189,8/1/2019 21:00,0.41
190,8/1/2019 22:00,0.67
191,8/1/2019 23:00,0.72
192,9/1/2019 0:00,0.64
193,9/1/2019 1:00,0.26
194,9/1/2019 2:00,0.54
195,9/1/2019 3:00,0.45
196,9/1/2019 4:00,0.79
197,9/1/2019 5:00,0.33
198,9/1/2019 6:00,0.67
199,9/1/2019 7:00,0.72
200,9/1/2019 8:00,0.72
201,9/1/2019 9:00,0.34
202,9/1/2019 10:00,0.62
203,9/1/2019 11:00,0.45
204,9/1/2019 12:00,0.71
205,9/1/2019 13:00,0.33
206,9/1/2019 14:00,0.51
207,9/1/2019 15:00,0.64
208,9/1/2019 16:00,0.64
209,9/1/2019 17:00,0.1
210,9/1/2019 18:00,0.54
211,9/1/2019 19:00,0.45
212,9/1/2019 20:00,0.71
213,9/1/2019 21:00,0.41
214,9/1/2019 22:00,0.59
215,9/1/2019 23:00,0.72
216,10/1/2019 0:00,0.72
217,10/1/2019 1:00,0.18
218,10/1/2019 2:00,0.54
219,10/1/2019 3:00,0.45
220,10/1/2019 4:00,0.55
221,10/1/2019 5:00,0.33
222,10/1/2019 6:00,0.59
223,10/1/2019 7:00,0.72
224,10/1/2019 8:00,0.8
225,10/1/2019 9:00,0.26
226,10/1/2019 10:00,0.54
227,10/1/2019 11:00,0.21
228,10/1/2019 12:00,0.47
229,10/1/2019 13:00,0.01
230,10/1/2019 14:00,0.43
231,10/1/2019 15:00,0.48
232,10/1/2019 16:00,0.48
233,10/1/2019 17:00,0
234,10/1/2019 18:00,0.24
235,10/1/2019 19:00,0.29
236,10/1/2019 20:00,0.63
237,10/1/2019 21:00,0.09
238,10/1/2019 22:00,0.51
239,10/1/2019 23:00,0.56
240,11/1/2019 0:00,0.48
241,11/1/2019 1:00,0.08
242,11/1/2019 2:00,0.32
243,11/1/2019 3:00,0.29
244,11/1/2019 4:00,0.63
245,11/1/2019 5:00,0.09
246,11/1/2019 6:00,0.43
247,11/1/2019 7:00,0.56
248,11/1/2019 8:00,0.56
249,11/1/2019 9:00,0.08
250,11/1/2019 10:00,0.4
251,11/1/2019 11:00,0.29
252,11/1/2019 12:00,0.55
253,11/1/2019 13:00,0.01
254,11/1/2019 14:00,0.43
255,11/1/2019 15:00,0.48
256,11/1/2019 16:00,0.48
257,11/1/2019 17:00,0
258,11/1/2019 18:00,0.24
259,11/1/2019 19:00,0.29
260,11/1/2019 20:00,0.63
261,11/1/2019 21:00,0.09
262,11/1/2019 22:00,0.51
263,11/1/2019 23:00,0.56
264,12/1/2019 0:00,0.56
265,12/1/2019 1:00,0.08
266,12/1/2019 2:00,0.32
267,12/1/2019 3:00,0.37
268,12/1/2019 4:00,0.63
269,12/1/2019 5:00,0.01
270,12/1/2019 6:00,0.51
271,12/1/2019 7:00,0.56
272,12/1/2019 8:00,0.56
273,12/1/2019 9:00,0.08
274,12/1/2019 10:00,0.4
275,12/1/2019 11:00,0.37
276,12/1/2019 12:00,0.63
277,12/1/2019 13:00,0.01
278,12/1/2019 14:00,0.51
279,12/1/2019 15:00,0.56
280,12/1/2019 16:00,0.56
281,12/1/2019 17:00,0
282,12/1/2019 18:00,0.4
283,12/1/2019 19:00,0.37
284,12/1/2019 20:00,0.63
285,12/1/2019 21:00,0.09
286,12/1/2019 22:00,0.67
287,12/1/2019 23:00,0.64
288,13/1/2019 0:00,0.64
289,13/1/2019 1:00,0.08
290,13/1/2019 2:00,0.4
291,13/1/2019 3:00,0.37
292,13/1/2019 4:00,0.63
293,13/1/2019 5:00,0.01
294,13/1/2019 6:00,0.59
295,13/1/2019 7:00,0.56
296,13/1/2019 8:00,0.48
297,13/1/2019 9:00,0.08
298,13/1/2019 10:00,0.4
299,13/1/2019 11:00,0.37
300,13/1/2019 12:00,0.55
301,13/1/2019 13:00,0.01
302,13/1/2019 14:00,0.59
303,13/1/2019 15:00,0.48
304,13/1/2019 16:00,0.48
305,13/1/2019 17:00,0.08
306,13/1/2019 18:00,0.4
307,13/1/2019 19:00,0.37
308,13/1/2019 20:00,0.63
309,13/1/2019 21:00,0.09
310,13/1/2019 22:00,0.67
311,13/1/2019 23:00,0.56
312,14/1/2019 0:00,0.64
313,14/1/2019 1:00,0.16
314,14/1/2019 2:00,0.4
315,14/1/2019 3:00,0.45
316,14/1/2019 4:00,0.55
317,14/1/2019 5:00,0.09
318,14/1/2019 6:00,0.67
319,14/1/2019 7:00,0.48
320,14/1/2019 8:00,0.64
321,14/1/2019 9:00,0.24
322,14/1/2019 10:00,0.4
323,14/1/2019 11:00,0.53
324,14/1/2019 12:00,0.55
325,14/1/2019 13:00,0.09
326,14/1/2019 14:00,0.67
327,14/1/2019 15:00,0.4
328,14/1/2019 16:00,0.64
329,14/1/2019 17:00,0.16
330,14/1/2019 18:00,0.32
331,14/1/2019 19:00,0.53
332,14/1/2019 20:00,0.63
333,14/1/2019 21:00,0.17
334,14/1/2019 22:00,0.75
335,14/1/2019 23:00,0.4
336,15/1/2019 0:00,0.64
337,15/1/2019 1:00,0.16
338,15/1/2019 2:00,0.32
339,15/1/2019 3:00,0.53
340,15/1/2019 4:00,0.47
341,15/1/2019 5:00,0.09
342,15/1/2019 6:00,0.67
343,15/1/2019 7:00,0.4
344,15/1/2019 8:00,0.72
345,15/1/2019 9:00,0.32
346,15/1/2019 10:00,0.4
347,15/1/2019 11:00,0.61
348,15/1/2019 12:00,0.55
349,15/1/2019 13:00,0.01
350,15/1/2019 14:00,0.67
351,15/1/2019 15:00,0.4
352,15/1/2019 16:00,0.56
353,15/1/2019 17:00,0.24
354,15/1/2019 18:00,0.32
355,15/1/2019 19:00,0.61
356,15/1/2019 20:00,0.71
357,15/1/2019 21:00,0.17
358,15/1/2019 22:00,0.75
359,15/1/2019 23:00,0.48
360,16/1/2019 0:00,0.64
361,16/1/2019 1:00,0.24
362,16/1/2019 2:00,0.32
363,16/1/2019 3:00,0.61
364,16/1/2019 4:00,0.55
365,16/1/2019 5:00,0.01
366,16/1/2019 6:00,0.67
367,16/1/2019 7:00,0.48
368,16/1/2019 8:00,0.64
369,16/1/2019 9:00,0.4
370,16/1/2019 10:00,0.4
371,16/1/2019 11:00,0.61
372,16/1/2019 12:00,0.63
373,16/1/2019 13:00,0.01
374,16/1/2019 14:00,0.67
375,16/1/2019 15:00,0.48
376,16/1/2019 16:00,0.64
377,16/1/2019 17:00,0.32
378,16/1/2019 18:00,0.4
379,16/1/2019 19:00,0.69
380,16/1/2019 20:00,0.79
381,16/1/2019 21:00,0.01
382,16/1/2019 22:00,0.67
383,16/1/2019 23:00,0.48
384,17/1/2019 0:00,0.64
385,17/1/2019 1:00,0.24
386,17/1/2019 2:00,0.24
387,17/1/2019 3:00,0.53
388,17/1/2019 4:00,0.63
389,17/1/2019 5:00,0
390,17/1/2019 6:00,0.52
391,17/1/2019 7:00,0.56
392,17/1/2019 8:00,0.72
393,17/1/2019 9:00,0.32
394,17/1/2019 10:00,0.4
395,17/1/2019 11:00,0.61
396,17/1/2019 12:00,0.63
397,17/1/2019 13:00,0
398,17/1/2019 14:00,0.52
399,17/1/2019 15:00,0.56
400,17/1/2019 16:00,0.64
401,17/1/2019 17:00,0.24
402,17/1/2019 18:00,0.32
