,Date,Time,Date&Time,NO2 (ug/m3)
0,1/1/2019,0:00:00,1/1/2019 0:00,44
1,1/1/2019,1:00:00,1/1/2019 1:00,37
2,1/1/2019,2:00:00,1/1/2019 2:00,24
3,1/1/2019,3:00:00,1/1/2019 3:00,19
4,1/1/2019,4:00:00,1/1/2019 4:00,10
5,1/1/2019,5:00:00,1/1/2019 5:00,10
6,1/1/2019,6:00:00,1/1/2019 6:00,13
7,1/1/2019,7:00:00,1/1/2019 7:00,13
8,1/1/2019,8:00:00,1/1/2019 8:00,14
9,1/1/2019,9:00:00,1/1/2019 9:00,13
10,1/1/2019,10:00:00,1/1/2019 10:00,12
11,1/1/2019,11:00:00,1/1/2019 11:00,9
12,1/1/2019,12:00:00,1/1/2019 12:00,9
13,1/1/2019,13:00:00,1/1/2019 13:00,8
14,1/1/2019,14:00:00,1/1/2019 14:00,8
15,1/1/2019,15:00:00,1/1/2019 15:00,6
16,1/1/2019,16:00:00,1/1/2019 16:00,6
17,1/1/2019,17:00:00,1/1/2019 17:00,7
18,1/1/2019,18:00:00,1/1/2019 18:00,7
19,1/1/2019,19:00:00,1/1/2019 19:00,8
20,1/1/2019,20:00:00,1/1/2019 20:00,12
21,1/1/2019,21:00:00,1/1/2019 21:00,17
22,1/1/2019,22:00:00,1/1/2019 22:00,29
23,1/1/2019,23:00:00,1/1/2019 23:00,31
24,2/1/2019,0:00:00,2/1/2019 0:00,24
25,2/1/2019,1:00:00,2/1/2019 1:00,22
26,2/1/2019,2:00:00,2/1/2019 2:00,11
27,2/1/2019,3:00:00,2/1/2019 3:00,10
28,2/1/2019,4:00:00,2/1/2019 4:00,9
29,2/1/2019,5:00:00,2/1/2019 5:00,6
30,2/1/2019,6:00:00,2/1/2019 6:00,6
31,2/1/2019,7:00:00,2/1/2019 7:00,8
32,2/1/2019,8:00:00,2/1/2019 8:00,21
33,2/1/2019,9:00:00,2/1/2019 9:00,26
34,2/1/2019,10:00:00,2/1/2019 10:00,19
35,2/1/2019,11:00:00,2/1/2019 11:00,10
36,2/1/2019,12:00:00,2/1/2019 12:00,6
37,2/1/2019,13:00:00,2/1/2019 13:00,5
38,2/1/2019,14:00:00,2/1/2019 14:00,5
39,2/1/2019,15:00:00,2/1/2019 15:00,6
40,2/1/2019,16:00:00,2/1/2019 16:00,7
41,2/1/2019,17:00:00,2/1/2019 17:00,7
42,2/1/2019,18:00:00,2/1/2019 18:00,10
43,2/1/2019,19:00:00,2/1/2019 19:00,15
44,2/1/2019,20:00:00,2/1/2019 20:00,15
45,2/1/2019,21:00:00,2/1/2019 21:00,13
46,2/1/2019,22:00:00,2/1/2019 22:00,19
47,2/1/2019,23:00:00,2/1/2019 23:00,19
48,3/1/2019,0:00:00,3/1/2019 0:00,15
49,3/1/2019,1:00:00,3/1/2019 1:00,12
50,3/1/2019,2:00:00,3/1/2019 2:00,9
