,Date&Time,Hourly O3 (ug/m3)
0,1/1/2019 0:00,0
1,1/1/2019 1:00,0
2,1/1/2019 2:00,7
3,1/1/2019 3:00,31
4,1/1/2019 4:00,33
5,1/1/2019 5:00,57
6,1/1/2019 6:00,24
7,1/1/2019 7:00,16
8,1/1/2019 8:00,16
9,1/1/2019 9:00,16
10,1/1/2019 10:00,7
11,1/1/2019 11:00,55
12,1/1/2019 12:00,57
13,1/1/2019 13:00,97
14,1/1/2019 14:00,88
15,1/1/2019 15:00,72
16,1/1/2019 16:00,80
17,1/1/2019 17:00,80
18,1/1/2019 18:00,63
19,1/1/2019 19:00,63
20,1/1/2019 20:00,33
21,1/1/2019 21:00,49
22,1/1/2019 22:00,16
23,1/1/2019 23:00,0
24,2/1/2019 0:00,24
25,2/1/2019 1:00,32
26,2/1/2019 2:00,31
27,2/1/2019 3:00,63
28,2/1/2019 4:00,41
29,2/1/2019 5:00,81
30,2/1/2019 6:00,56
31,2/1/2019 7:00,32
32,2/1/2019 8:00,24
33,2/1/2019 9:00,24
34,2/1/2019 10:00,15
35,2/1/2019 11:00,71
36,2/1/2019 12:00,57
37,2/1/2019 13:00,105
38,2/1/2019 14:00,80
39,2/1/2019 15:00,72
40,2/1/2019 16:00,104
41,2/1/2019 17:00,96
42,2/1/2019 18:00,87
43,2/1/2019 19:00,119
44,2/1/2019 20:00,89
45,2/1/2019 21:00,121
46,2/1/2019 22:00,80
47,2/1/2019 23:00,56
48,3/1/2019 0:00,72
49,3/1/2019 1:00,64
50,3/1/2019 2:00,47
51,3/1/2019 3:00,79
52,3/1/2019 4:00,41
53,3/1/2019 5:00,89
54,3/1/2019 6:00,80
55,3/1/2019 7:00,40
56,3/1/2019 8:00,48
57,3/1/2019 9:00,48
58,3/1/2019 10:00,31
59,3/1/2019 11:00,71
60,3/1/2019 12:00,25
61,3/1/2019 13:00,89
62,3/1/2019 14:00,96
63,3/1/2019 15:00,56
64,3/1/2019 16:00,64
65,3/1/2019 17:00,88
66,3/1/2019 18:00,55
67,3/1/2019 19:00,103
68,3/1/2019 20:00,65
69,3/1/2019 21:00,105
70,3/1/2019 22:00,96
71,3/1/2019 23:00,48
72,4/1/2019 0:00,48
73,4/1/2019 1:00,64
74,4/1/2019 2:00,31
75,4/1/2019 3:00,87
76,4/1/2019 4:00,41
77,4/1/2019 5:00,81
78,4/1/2019 6:00,72
79,4/1/2019 7:00,24
80,4/1/2019 8:00,16
81,4/1/2019 9:00,32
82,4/1/2019 10:00,15
83,4/1/2019 11:00,71
84,4/1/2019 12:00,49
85,4/1/2019 13:00,81
86,4/1/2019 14:00,88
87,4/1/2019 15:00,48
88,4/1/2019 16:00,80
89,4/1/2019 17:00,80
90,4/1/2019 18:00,55
91,4/1/2019 19:00,87
92,4/1/2019 20:00,49
93,4/1/2019 21:00,81
94,4/1/2019 22:00,88
95,4/1/2019 23:00,40
96,5/1/2019 0:00,40
97,5/1/2019 1:00,64
98,5/1/2019 2:00,39
99,5/1/2019 3:00,55
100,5/1/2019 4:00,17
101,5/1/2019 5:00,41
102,5/1/2019 6:00,56
103,5/1/2019 7:00,16
104,5/1/2019 8:00,24
105,5/1/2019 9:00,16
106,5/1/2019 10:00,23
107,5/1/2019 11:00,71
108,5/1/2019 12:00,73
109,5/1/2019 13:00,121
110,5/1/2019 14:00,152
111,5/1/2019 15:00,88
112,5/1/2019 16:00,96
113,5/1/2019 17:00,80
114,5/1/2019 18:00,55
115,5/1/2019 19:00,71
116,5/1/2019 20:00,33
117,5/1/2019 21:00,49
118,5/1/2019 22:00,64
119,5/1/2019 23:00,8
120,6/1/2019 0:00,24
121,6/1/2019 1:00,16
122,6/1/2019 2:00,7
123,6/1/2019 3:00,39
124,6/1/2019 4:00,17
125,6/1/2019 5:00,25
