,Inputs,Name in MCM,Source,Required unit,Required conversion?
0,TM123B,TM123B,from Hourly data,ppb,No
1,TM124B,TM124B,from Hourly data,ppb,No
2,CDICLETH,CDICLETH,from Hourly data,ppb,No
3,TM135B,TM135B,from Hourly data,ppb,No
4,C4H6,C4H6,from Hourly data,ppb,No
5,BUT1ENE,BUT1ENE,from Hourly data,ppb,No
6,PENT1ENE,PENT1ENE,from Hourly data,ppb,No
7,M22C4,M22C4,from Hourly data,ppb,No
8,M23C4,M23C4,from Hourly data,ppb,No
9,NC4H9NO3,NC4H9NO3,from Hourly data,ppb,No
10,OETHTOL,OETHTOL,from Hourly data,ppb,No
11,ME2BUT1ENE,ME2BUT1ENE,from Hourly data,ppb,No
12,ME2BUT2ENE,ME2BUT2ENE,from Hourly data,ppb,No
13,M2HEX,M2HEX,from Hourly data,ppb,No
14,M2PE,M2PE,from Hourly data,ppb,No
15,PEANO3,PEANO3,from Hourly data,ppb,No
16,METHTOL,METHTOL,from Hourly data,ppb,No
17,ME3BUT1ENE,ME3BUT1ENE,from Hourly data,ppb,No
18,M3HEX,M3HEX,from Hourly data,ppb,No
19,M3PE,M3PE,from Hourly data,ppb,No
20,PETHTOL,PETHTOL,from Hourly data,ppb,No
21,APINENE,APINENE,from Hourly data,ppb,No
22,BPINENE,BPINENE,from Hourly data,ppb,No
23,TCE,TCE,from Hourly data,ppb,No
24,TRICLETH,TRICLETH,from Hourly data,ppb,No
25,CH3BR,CH3BR,from Hourly data,ppb,No
26,CH3CCL3,CH3CCL3,from Hourly data,ppb,No
27,CH4,CH4,from Hourly data,ppb,No
28,CBUT2ENE,CBUT2ENE,from Hourly data,ppb,No
29,CPENT2ENE,CPENT2ENE,from Hourly data,ppb,No
31,CHEX,CHEX,from Hourly data,ppb,No
32,C2H6,C2H6,from Hourly data,ppb,No
33,C2H4,C2H4,from Hourly data,ppb,No
34,EBENZ,EBENZ,from Hourly data,ppb,No
35,C2H2,C2H2,from Hourly data,ppb,No
36,IC4H10,IC4H10,from Hourly data,ppb,No
37,MEPROPENE,MEPROPENE,from Hourly data,ppb,No
38,IC5H12,IC5H12,from Hourly data,ppb,No
39,IC3H7NO3,IC3H7NO3,from Hourly data,ppb,No
40,MXYL,MXYL,from Hourly data,ppb,No
41,NC4H10,NC4H10,from Hourly data,ppb,No
42,NC10H22,NC10H22,from Hourly data,ppb,No
43,NC7H16,NC7H16,from Hourly data,ppb,No
44,NC6H14,NC6H14,from Hourly data,ppb,No
45,NC9H20,NC9H20,from Hourly data,ppb,No
46,NC8H18,NC8H18,from Hourly data,ppb,No
47,NC5H12,NC5H12,from Hourly data,ppb,No
48,NC3H7NO3,NC3H7NO3,from Hourly data,ppb,No
49,PBENZ,PBENZ,from Hourly data,ppb,No
50,OXYL,OXYL,from Hourly data,ppb,No
51,C3H8,C3H8,from Hourly data,ppb,No
52,PXYL,PXYL,from Hourly data,ppb,No
53,TBUT2ENE,TBUT2ENE,from Hourly data,ppb,No
54,TPENT2ENE,TPENT2ENE,from Hourly data,ppb,No
55,Acetaldehyde,CH3CHO,from Hourly data,ppb,No
56,Acetic.acid,CH3CO2H,from Hourly data,ppb,No
57,Acetic.anhydride,METHCOACET,from Hourly data,ppb,No
58,Acetol,METHACET,from Hourly data,ppb,No
59,Acetone,CH3COCH3,from Hourly data,ppb,No
60,Acrolein,ACR,from Hourly data,ppb,No
61,Acrylic.acid,ACO2H,from Hourly data,ppb,No
62,Benzene,BENZENE,from Hourly data,ppb,No
63,Butanone,MEK,from Hourly data,ppb,No
64,Catechol,CATECHOL,from Hourly data,ppb,No
65,Chloromethane,CH3CL,from Hourly data,ppb,No
66,Cresol,CRESOL,from Hourly data,ppb,No
67,Dichloro.methane,CH2CL2,from Hourly data,ppb,No
68,Dimethyl.Sulfide,DMS,from Hourly data,ppb,No
69,Ethanol,C2H5OH,from Hourly data,ppb,No
70,Ethyl.nitrate,C2H5NO3,from Hourly data,ppb,No
71,Formaldehyde,HCHO,from Hourly data,ppb,No
72,Formic.acid,HCOOH,from Hourly data,ppb,No
73,Hexanal,HEX2ONE,from Hourly data,ppb,No
74,Isoprene,C5H8,from Hourly data,ppb,No
75,Methanesulfonic.acid,MSA,from Hourly data,ppb,No
76,Methyl.nitrate,CH3NO3,from Hourly data,ppb,No
77,MVK,MVK,from Hourly data,ppb,No
78,p.Benzoquinone,PBZQONE,from Hourly data,ppb,No
79,Pentanal,C4H9CHO,from Hourly data,ppb,No
80,Peroxyacetyl.Nitrate,PAN,from Hourly data,ppb,No
81,Phenol,PHENOL,from Hourly data,ppb,No
82,Pinic.acid,PINIC,from Hourly data,ppb,No
83,Pinonic.acid,PINONIC,from Hourly data,ppb,No
84,Propene,C3H6,from Hourly data,ppb,No
85,Propyl.acetate,NPROACET,from Hourly data,ppb,No
86,Pyruvic.acid,CH3COCO2H,from Hourly data,ppb,No
87,Styrene,STYRENE,from Hourly data,ppb,No
88,Toluene,TOLUENE,from Hourly data,ppb,No
89,Butanol,NBUTOL,from Hourly data,ppb,No
90,RH,-,from meteorology file,Fraction (0 to 1),Yes from % to fraction
91,Temperature,-,from meteorology file,Kelvin,Yes from C to Kelvin
92,CO,CO,from NEA data,ppb,Yes from mg/m3 to ppb
93,NO2,NO2,from NEA data,ppb,Yes from ug/m3 to ppb
94,O3,O3,from NEA data,ppb,Yes from ug/m3 to ppb
95,SO2,SO2,from MARGA data,ppb,Yes from ug/m3 to ppb
